node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
CDK9	INA	1855868	1855119	ENSP00000362361	ENSP00000358865	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.630	0.630
NDEL1	NEFM	1851656	1842816	ENSP00000333982	ENSP00000221166	0.000	0.000	0.000	0.000	0.000	0.083	0.000	0.449	0.486
INA	NEFM	1855119	1842816	ENSP00000358865	ENSP00000221166	0.000	0.000	0.000	0.928	0.111	0.435	0.720	0.810	0.855
MYO5A	INA	1858703	1855119	ENSP00000382177	ENSP00000358865	0.000	0.000	0.000	0.000	0.000	0.097	0.000	0.610	0.632
STAU1	INA	1855564	1855119	ENSP00000360922	ENSP00000358865	0.000	0.000	0.000	0.000	0.000	0.631	0.000	0.000	0.631
NEFH	NEFM	1849481	1842816	ENSP00000311997	ENSP00000221166	0.000	0.000	0.000	0.805	0.000	0.576	0.720	0.957	0.899
INA	NDEL1	1855119	1851656	ENSP00000358865	ENSP00000333982	0.000	0.000	0.000	0.000	0.000	0.102	0.000	0.693	0.713
INA	NEFH	1855119	1849481	ENSP00000358865	ENSP00000311997	0.000	0.000	0.000	0.892	0.000	0.116	0.720	0.784	0.763
PKN1	NEFH	1852686	1849481	ENSP00000343325	ENSP00000311997	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.405	0.743
DLGAP2	NEFM	1860213	1842816	ENSP00000400258	ENSP00000221166	0.000	0.000	0.000	0.000	0.000	0.000	0.720	0.077	0.730
NDEL1	NEFH	1851656	1849481	ENSP00000333982	ENSP00000311997	0.000	0.000	0.000	0.000	0.000	0.109	0.000	0.494	0.541
AIMP1	NEFM	1858222	1842816	ENSP00000378191	ENSP00000221166	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.596	0.596
INA	PKN1	1855119	1852686	ENSP00000358865	ENSP00000343325	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.689	0.689
DLGAP2	INA	1860213	1855119	ENSP00000400258	ENSP00000358865	0.000	0.000	0.000	0.000	0.000	0.000	0.720	0.000	0.720
PKN1	NEFM	1852686	1842816	ENSP00000343325	ENSP00000221166	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.404	0.404
DLGAP2	NEFH	1860213	1849481	ENSP00000400258	ENSP00000311997	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
NEFH	TSC1	1849481	1847972	ENSP00000311997	ENSP00000298552	0.000	0.000	0.000	0.000	0.000	0.085	0.000	0.600	0.618
AIMP1	INA	1858222	1855119	ENSP00000378191	ENSP00000358865	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.676	0.676
INA	TSC1	1855119	1847972	ENSP00000358865	ENSP00000298552	0.000	0.000	0.000	0.000	0.000	0.100	0.000	0.685	0.704
AIMP1	NEFH	1858222	1849481	ENSP00000378191	ENSP00000311997	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.596	0.596
TSC1	NEFM	1847972	1842816	ENSP00000298552	ENSP00000221166	0.000	0.000	0.000	0.000	0.000	0.085	0.000	0.600	0.618
